,epoch_loss_avg,binary_acc,precision,recall,f1,AUC,AUPRC,mcc
0,0.2304301497072347,0.9203155890870848,0.8745004509067877,0.6428030513525702,0.7373710100868194,0.9433901955041003,0.8378366495621685,0.7055296531826224
1,0.18691630782149932,0.9326241622511551,0.8414624724860904,0.7614629855750541,0.7983463516049735,0.9542938801419727,0.867620898953211,0.760180516436116
2,0.1718292598081615,0.9380179175843063,0.8525929684195181,0.7862378013213707,0.8170223957733003,0.9616210721259998,0.8872249490518056,0.7814528351126923
3,0.17932460192163766,0.9389985741391721,0.8583515100269906,0.7917169309426079,0.8202871632325894,0.9639804046059929,0.8963075752761128,0.7869664202108417
4,0.1731033191762658,0.9410582991797242,0.8712567995013236,0.7834515912372961,0.8223799521107763,0.9647983614594537,0.9012712387695443,0.7905609198322742
5,0.18669715041468218,0.9414505521829113,0.8536911102156882,0.8101539990015383,0.8300306067575993,0.9631191865952775,0.8960583514389414,0.7960397008312912
6,0.1986778491282261,0.9431665388373638,0.864689408482133,0.803726873812824,0.8328684716131395,0.9630383305246732,0.9004364048520349,0.7996269205772151
7,0.23165105942011627,0.9426762105599309,0.8749951927513797,0.7897886759069628,0.8289791177479076,0.9626501175367231,0.896835154375714,0.7969998546001671
8,0.25962579149569454,0.9389495906075702,0.8376152261875145,0.8159010851205549,0.8249135833143452,0.9607149398611341,0.8928800319842015,0.7893211714193028
9,0.25886290768342907,0.9410089549446494,0.8489616048387887,0.8097630990646675,0.8285774500724992,0.9620287978038373,0.8981300573544608,0.7935359201902927
